번호_시군구명,업체명,소재지,신고일자,근로_수의사수
188 상주시,공검가축병원,경상북도 상주시 공검면 양정리 22번지 3호 8통  ,1977-07-01,1
189 상주시,상주동물병원,경상북도 상주시 남성동 36번지 14호  ,1988-12-02,1
190 상주시,그린종합동물병원,경상북도 상주시 남성동 165번지 2호 56통 명곡미래빌 4단지 401동 801호 ,2013-08-14,1
191 상주시,고려동물병원,경상북도 상주시 남성동 101번지 11호  ,1997-05-01,1
192 상주시,대성동물병원,경상북도 상주시 서성동 64번지  ,2009-03-26,1
193 상주시,가람동물병원,경상북도 상주시 복룡동 293번지 37호  ,1996-02-08,1
194 상주시,한빛동물병원,경상북도 상주시 외답동 845번지  ,2007-09-13,2
195 상주시,경북종합동물병원,경상북도 상주시 함창읍 구향리 122번지 80호  ,1993-02-24,1
196 상주시,고고동물병원,경상북도 상주시 공성면 옥산리 171번지  ,2021-04-21,1
197 상주시,장수의과 동물병원,경상북도 상주시 남성동 96번지 1호  ,2020-05-22,1
198 상주시,우리동물병원,경상북도 상주시 무양동 287번지  ,2020-03-04,1
199 상주시,건국가축병원,경상북도 상주시 신봉동 337번지 5호  ,2020-03-04,1
200 상주시,더존 동물병원,경상북도 상주시 사벌국면 덕담리 444번지 2호  ,2018-12-04,1
201 상주시,무양반려동물병원,경상북도 상주시 무양동 55번지 22호  ,2017-09-12,2
202 상주시,동산동물병원,경상북도 상주시 성하동 11번지 3호  ,2015-04-27,1
203 상주시,북부동물병원,경상북도 상주시 낙동면 상촌리 282번지 1호  ,2015-06-17,1
204 상주시,상주가축진료소,경상북도 상주시 낙동면 낙동리 220번지  ,2015-07-07,1
205 상주시,계림동물병원,경상북도 상주시 복룡동 341번지  ,2016-12-06,1
206 상주시,박영학동물병원,경상북도 상주시 복룡동 282번지  ,2016-11-03,1
207 상주시,경북대학교 수의과대학 부속동물병원(분원),경상북도 상주시 가장동 386번지 경북대학교상주캠퍼스 ,2013-12-26,1
208 상주시,상주축협 동물병원,경상북도 상주시 지천동 106번지 16호  ,1994-11-23,2
209 문경시,행복한동물병원,경상북도 문경시 모전동 115번지 11호  ,2004-01-31,1
210 문경시,동원동물병원,경상북도 문경시 흥덕동 308번지 7호 8통 2반  ,1987-12-10,1
211 문경시,종합가축병원,경상북도 문경시 흥덕동 200번지 1호 10통 1반  ,1990-04-12,1
212 문경시,현대동물병원,경상북도 문경시 흥덕동 789번지  ,2010-05-10,1
213 문경시,강해철 동물병원,경상북도 문경시 모전동 883번지 6호  ,2008-10-01,1
214 문경시,제일가축병원,경상북도 문경시 흥덕동 249번지 10호  ,1995-06-01,1
215 문경시,문경축협 동물병원,경상북도 문경시 흥덕동 223번지 3호  ,2011-06-30,1
216 문경시,보람동물병원,경상북도 문경시 흥덕동 653번지 1호  ,2018-07-25,1
217 문경시,태산동물병원,경상북도 문경시 영신동 488번지 16호  ,2021-02-28,1
218 경산시,대림동물병원,경상북도 경산시 하양읍 금락리 9번지 2호  ,1969-04-04,1
219 경산시,하양동물병원,경상북도 경산시 하양읍 도리리 112번지 63호  ,1991-01-21,1
220 경산시,강북동물병원,경상북도 경산시 하양읍 동서리 592번지 1호  ,2006-05-11,1
221 경산시,자인동물병원,경상북도 경산시 자인면 서부리 256번지 5호 5통  ,1990-03-06,2
222 경산시,용성동물병원,경상북도 경산시 용성면 당리리 128번지 3호 1통  ,1966-08-10,1
223 경산시,유한동물병원,경상북도 경산시 중방동 828번지 24호  ,2012-05-10,1
224 경산시,행복한 동물병원,경상북도 경산시 옥산동 758번지 4호  ,2010-08-02,2
225 경산시,가나종합동물병원,경상북도 경산시 옥산동 758번지 7호  ,2002-11-18,1
226 경산시,정평동물병원,경상북도 경산시 정평동 246번지 48호  ,2004-02-12,1
227 경산시,더샵 동물병원,경상북도 경산시 중산동 591번지  ,2014-10-29,1
228 경산시,우리동물병원,경상북도 경산시 대정동 693번지  ,2015-09-22,1
229 경산시,초원동물병원,경상북도 경산시 중방동 849번지 6호  ,1987-08-17,1
230 경산시,경산동물병원,경상북도 경산시 중방동 846번지 6호  ,1992-11-23,1
231 경산시,영대동물병원,경상북도 경산시 중방동 245번지 2호  ,1998-10-30,1
232 경산시,제일동물병원,경상북도 경산시 중방동 849번지 21호  ,2011-05-25,1
233 경산시,김영복수의과병원,경상북도 경산시 중방동 864번지 11호  ,2001-12-01,1
234 경산시,동부동물병원,경상북도 경산시 압량읍 부적리 537번지 1호  ,2014-09-25,1
235 경산시,고은동물병원,"경상북도 경산시 중방동 841번지 5호 한국농어촌공사 경산,청도지사 ",2005-01-04,2
236 경산시,소소 동물병원,경상북도 경산시 진량읍 선화리 720번지 9호  ,2021-03-09,1
237 경산시,원 애니멀 씨앤씨(원 Animal CNC),경상북도 경산시 하양읍 동서리 1090번지  ,2021-01-11,1
238 경산시,명수의병원,경상북도 경산시 삼북동 250번지 23호  ,2020-07-02,1
239 경산시,오월의 동물병원,경상북도 경산시 정평동 187번지 7호  ,2020-03-13,1
240 경산시,한국동물병원,경상북도 경산시 하양읍 동서리 1090번지  ,2019-06-28,2
241 경산시,오케이 동물병원,경상북도 경산시 와촌면 동강리 140번지  ,2018-09-03,1
242 경산시,큰사랑동물병원,경상북도 경산시 사동 659번지 1호 부영원앙마을 ,2018-08-17,1
243 경산시,한결같은 동물병원,경상북도 경산시 하양읍 동서리 900번지 3호  ,2018-07-06,1
244 경산시,고앤서 동물병원,경상북도 경산시 중산동 632번지  ,2018-04-19,2
245 경산시,최우식 동물병원,경상북도 경산시 하양읍 금락리 654번지  ,2018-04-10,1
246 경산시,경산의 삽살개육종연구소,경상북도 경산시 와촌면 박사리 산 21번지 1호  ,2018-01-30,1
247 경산시,진량동물병원,경상북도 경산시 옥산동 849번지 1호  ,2017-03-20,1
