식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
547104,이름못정한술집,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,472.6246560,N,N,N,,,
547366,자매떡볶이,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
547484,스코트 커피,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,에스프레소
547997,화개장터,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
548017,고기집중,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,240.2927090,N,N,N,,,고집한판 400g
548539,가마솥김밥플러스,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,503.9286790,N,N,N,,,
548614,바다양푼이동태탕(광주지산점),광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,Y,,,http://www.badajini.co.kr/,,,,,N,N,N,,,돼지주물럭
548615,정이주가,광주광역시 동구,N,Y,N,N,N,Y,,"매일 16:00~04:00, 공휴일 16:00~04:00",N,N,Y,전화예약,,"http://www.instagram.com/jungljuga,https://jungljuga.modoo.at",문화전당역(구도청),35.1464409,126.9198890,322.1377250,N,N,N,,,
548654,티움,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,아메리카노
548888,여기카페,광주광역시 동구,Y,Y,N,N,Y,N,,매일 12:00~22:30,N,N,N,전화예약,,"http://www.instagram.com/yeogi_cafe,http://www.facebook.com/yeogicafe",문화전당역(구도청),35.1464409,126.9198890,430.3937980,N,N,N,,,생크림카스테라
549237,파크마리아주,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
549286,광주춤추는찹쌀도너츠(동구1호점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,330.7217280,N,N,N,,,
549810,광주동구시니어클럽 6070다방,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,학동증심사입구역,35.1333493,126.9284320,0.0209470,N,N,N,,,
549893,쥬시(황금점),광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,356.6216390,N,N,N,,,딸기바나나
550047,장어명가 청산(광주점),광주광역시 동구,Y,Y,Y,N,Y,Y,,매일 11:00~21:30,N,N,N,전화예약,,,,,,,N,N,N,,,장어탕
550114,루스터,광주광역시 동구,Y,Y,N,N,Y,Y,,"금요일 09:00~18:00, 평일 09:00~18:00",N,N,N,전화예약,,http://roostercoffee.modoo.at/,금남로4가역,35.1507100,126.9147300,466.2725000,N,N,N,,,에스프레소
550927,소뇨,광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~22:30,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,446.8555880,N,N,N,,,메론&수박 빙수
551033,역전우동0410(광주충장로점),광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,N,,,http://www.udon0410.com,문화전당역(구도청),35.1464409,126.9198890,200.4142450,N,N,N,,,옛날우동
551034,피자치킨콜,광주광역시 동구,N,N,N,N,Y,N,,매일 14:00~01:00,N,N,N,,,http://www.odr.kr/MmAOxQ,인당국악사,35.1453096,126.9215580,673.4547040,N,N,N,,,
551051,대접,광주광역시 동구,N,Y,N,N,Y,N,일요일,매일 11:30~20:00,N,N,N,전화예약,,http://daegub.modoo.at/,문화전당역(구도청),35.1464409,126.9198890,405.7443010,N,N,N,,,돌솥비빔밥
